City,Store Code
GZB-Wave City,GZB_WAVECT_P01R0CC
VLD-Abrama,VLD_ABRAMA_P01R0CC
KOL-Haridevpur,KOL_HRDVPR_P01R0CF
KNU-Kidwai Nagar,KNU_KDWNGR_P01R0FF
DEL-Mahavir Enclave Network,DEL_MHVNCV_N01R0FF
DEL-Dilshad Garden New,DEL_DLSGRD_P01R1CC
NOD-SECTOR 142 NOIDA,NOD_SEC142_P01R0CC
GGN-Sector 39 NETWORK-4,GGN_SEC39_N04R0FF
AGR-Sikandar,AGR_SKNDRA_P01R0CC
PAN GOL MARKET,PAN_GOLMKT_P01R0CC
DEL-Rajapur Khurd,DEL_RJPKHD_P01R0CC
NOD-Sector 46 Network,NOD_SEC46_N01R0CC
IDR-Tilak Nagar,IDR_TLKNGR_P01R0FF
NAS-Ganpati Nagar,NAS_GPTNGR_P01R0CC
DEL-Rohini Sector 23,DEL_RHON23_P01R0FF
NAS-Jagtap Mala,NAS_JGTPML_P01R0CC
IDR-Niranjanpur,IDR_NRJNPR_P01R0CC
ATQ-Mohan Nagar,ATQ_MHNNGR_P01R0CC
GZB-Sahibabad New,GZB_VSHALI_N01R1CF
PYJ-Kalindipuram,PYJ_KLNPRM_P01R0CC
KNU-Barra,KNU_BATTA_P01R0FF
NOD-Sector-31,NOD_SEC10_N01R0CC
GOP-Gorakhnath,GOP_GRKNTH_P01R0CC
NAG-Zingabai Takali,NAG_ZGBTKL_P01R0CC
PAN-Sector 18 Huda,PAN_SEC18_P01R0CC
AHM-Vavol,AHM_VAVOL_P01R0FF
NOD-Sector 73 Network-2,NOD_SEC73_N02R0FF
NAS-Panchvati,NAS_PNHVTI_P01R0CC
GZB- Harson,GZB_HARSON_P01R0CC
UDR-Shobhagpura,UDR_SHBPRA_P01R0CC
NAG-Khamla,NAG_KHAMLA_P01R0CC
LKO-Manas Enclave,LKO_MNSENC_P01R0CC
LKO-Golf City,LKO_GOLFCT_P01R0FF
KNU-Lal Bangla,KNU_LALBNG_P01R0CC
NOD-SECTOR PI-1,NOD_SECPI1_P01R0CC
NOD-SECTOR 142 NETWORK,NOD_SEC142_N01R0CF
NAS-Rane Nagar,NAS_RANNGR_P01R0CC
SUR-Sarthana,SUR_SRTHNA_P01R0FF
LKO-Chowk SS,LKO_CHOWK_SS1R0CC
NOD-Jalvayu Vihar,NOD_JLVVHR_P01R0CC
GGN-Sector 77,GGN_SEC77_P01R0CC
DEL-DWARKA SECTOR 19,DEL_DWARKA_P01R0CC
REW-Sector 4,REW_SEC4_P01R0CC
GZB-MADHUBAN BAPUDHAM,GZB_MDBNBP_P01R0CC
AHM-Chandkheda,AHM_CHNKDA_P01R0CF
LDH-Jamalpur,LDH_JMLPUR_P01R0CF
LKO-Sharda Nagar,LKO_SRDNGR_P01R0CF
KOL-Behala New,KOL_BEHALA_P01R1CC
NAG-Raghuji Nagar,NAG_RGUNGR_P01R0CC
DEL-JANAKPURI,DEL_JNKPRI_P01R0CF
FBD-Charmswood,FBD_CHRMWD_P01R0FF
KOL-Acropolis,KOL_ACRPLS_P01R0CC
IDR-Bicholi,IDR_BCHOLI_P01R0FF
DEL-UTTAM NAGAR New,DEL_UTMNGR_P01R1CC
GGN-ARDEE CITY,GGN_ARDCTY_P01R0CC
NAG-Garoba Maidan,NAG_GRBMDN_P01R0CF
AGR-Dayalbagh,AGR_DYLBGH_P01R0CC
KOL-Bhawanipore New,KOL_BHWPOR_P01R1CC
IDR-Nipania,IDR_NPANIA_P01R0FF
NAG-Besa,NAG_BESA_P01R0CC
NAG-Bhupesh Nagar,NAG_BPHNGR_P01R0CC
UDR-Hiran Magri,UDR_HRNMGR_P01R0CC
DEL-Dwarka Sector 12 Network,DEL_DWARKA_N03R0FF
SUR-Amroli,SUR_AMROLI_P01R0CC
KOL-Motinagar,KOL_MOTNGR_P01R0CC
KOL-Park Street,KOL_PRKSTR_P01R0FF
SUR-Palanpur,SUR_PLNPUR_P01R0FF
KNU-Arya Nagar,KNU_ARYNGR_P01R0FF
NAS-Indira Nagar,NAS_INDNGR_P01R0CC
VAD-Panchvati,VAD_PNCHVT_P01R0FF
KOL-Nazirabad,KOL_NZIBAD_P01R0CC
AHM-Gota,AHM_GOTA_P01R0CC
KOL-Uniworld City,KOL_UNICTY_P01R0CF
KNU-Shastri Nagar,KNU_SHSTNG_P01R0FF
RAJ-Mavdi,RAJ_MAVDI_P01R0CC
AHM-Motera,AHM_MOTERA_P01R0FF
JAI-Pratap Nagar,JAI_PRPNGR_P01R0FF
KOL-Kamalgachi,KOL_KMLGCH_P01R0FF
SUR-Mota Varacha,SUR_MTVRCH_P01R0CC
VAD-Tandalja,VAD_TADJLA_P01R0CC
VAD-Gotri Road,VAD_GTRIRD_P01R0FF
DEL-Bagdola,DEL_DWARKA_N06R0CF
DEL-Civil Lines,DEL_CVLLNS_P01R0CC
GZB-Shyam Park,GZB_SHMPRK_P01R0CF
GGN-Sector 95,GGN_SEC95_P01R0FF
Chennai SO office,CHN_SOOFCE_P01R0CC
LKO-vijaya Khand,LKO_VJYKND_P01R0FF
GZB-Jalalabad,GZB_JLALBD_P01R0CC
AGR-Jaipur House,AGR_JPRHSE_P01R0CC
SAS-Gillco Park SS,SAS_GLCOPR_SS1R0CC
GGN-SECTOR66,GGN_SEC66_P01R0CC
KOL-Mahish Bathan,KOL_NWTOWN_N02R0CC
AHM-Nandanbaug,AHM_NANDBG_P01R0FF
DEL-East Patel Nagar,DEL_EASTPL_P01R0CC
NAG-Gokulpeth,NAG_GKLPTH_P01R0CC
GZB-Rajnagar SS,GZB_RAJNGR_SS1R0CC
LKO-Ashraf Vihar Colony,LKO_AHFVCL_P01R0FF
NAS-Balram Nagar,NAS_BLRNGR_P01R0CC
VNS-BHU,VNS_BHU_P01R0FF
KOL-Baisakhi,KOL_BSAKHI_P01R0CC
PYJ-Govindpur,PYJ_GVNDPR_P01R0CC
LKO- Jankipuram,LKO_JNKPRM_P01R0CC
KOL-Joka New,KOL_JOKA_P01R1FF
LKO-Rajendra Nagar,LKO_RJDNGR_P01R0FF
PYJ-Jhunsi,PJY_JHUSI_P01R0CC
BEK-Rampur Garden,BEK_RMPRGR_P01R0FF
VAD-Harni,VAD_HARNI_P01R0CC
AHM-Vastral,AHM_VASTRL_P01R0CC
PNK-BUDANPUR,PNK_BDNPR_P01R0CC
BLR-Richmond Town Networks,BLR_RCHMND_N01R0CC
LKO-Rajajipuram,LKO_RJIPRM_P01R0FF
GGN-Maruti Kunj,GGN_MRTKNJ_P01R0CC
LKO-Defense Colony,LKO_DEFCOL_P01R0CC
LKO-Sardari Kheda,LKO_SRDKHD_P01R0FF
LKO-Tedhi Pulia,LKO_TDHPUL_P01R0CC
LKO-Daliganj,LKO_DLIGNJ_P01R0FF
LKO-Chinhat,LKO_CHINHT_P01R0FF
WGC-Kareemabad,WGC_KRMBAD_P01R0CC
NOD-Sector 73 Network-2,NOD_SEC73_N02R0FF
KNL-Vikas Colony,KNL_VKSCLN_P01R0CC
GGN - SUN CITY,GGN_ARDCTY_N01R0CC
SON-Kundli,SON_KUNDLI_P01R0CC
FBD-Greenfield,FBD_GRNFLD_P01R0CC
BEK-Green Park Colony,BEK_GRNPRC_P01R0FF
DEL-Rohini Sector 3 SS,DEL_ROHINI_SS2R0CC
AGR-Tajganj,AGR_TAJGNJ_P01R0CC
LKO-IIM,LKO_IIM_P01R0FF
LKO-Gudamba,LKO_GUDMBA_P01R0CC
GZB-Loni Road,GZB_LONIRD_P01R0CC
LKO-Dubagga,LKO_DUBAGA_P01R0CF
KNL-Saini Colony,KNL_SNICLN_P01R0CC
KOL-Baruipur,KOL_BRUIPR_P01R0FF
DEL-Vasantkunj SS,DEL_VSNTKJ_SS1R0CC
LKO-Chowk,LKO_CHOWK_P01R0FF
LKO-Gomti Nagar,LKO_GMTNGR_P01R0CC
RAJ-Madhapur,RAJ_MDHPUR_P01R0CC
HYD-Mallapur,HYD_TRNAKA_N01R0FF
DEL-Rohini Sec 21 SS,DEL_ROHINI_SS3R0CC
MUM-Palghar,MUM_PALGHR_P01R0CC
MUM-Bhandup SS,MUM_BHNDUP_SS1R0CC
KOC-Kalamassery,KOC_KLMSRY_P01R0CC
HYD-Chengicherla,HYD_CHNGCR_P01R0CC
